"degimas.log","greitis.log","Address","Data","Count","Time"
"No","Yes","04294001","001045007F103800","6","2014-10-08 13:29:06.805015"
"No","Yes","04294001","00105B007F103800","10","2014-10-08 13:29:07.304879"
"No","Yes","04294001","001078007F103800","10","2014-10-08 13:29:07.804969"
"No","Yes","04294001","001097007F103800","10","2014-10-08 13:29:08.304929"
"No","Yes","04294001","001077007F103800","10","2014-10-08 13:29:08.804888"
"No","Yes","04294001","001089007F103800","10","2014-10-08 13:29:09.304914"
"No","Yes","04294001","001095007F103800","10","2014-10-08 13:29:09.805377"
"No","Yes","04294001","031097027F103800","10","2014-10-08 13:29:10.304810"
"No","Yes","04294001","031094027F103800","10","2014-10-08 13:29:10.804916"
"No","Yes","04294001","031091027F103800","20","2014-10-08 13:29:11.804835"
"No","Yes","04294001","001091007F103800","4","2014-10-08 13:29:12.007009"
"No","Yes","04294001","001078007F103800","6","2014-10-08 13:29:12.304958"
"No","Yes","04294001","00108F007F103800","10","2014-10-08 13:29:12.804819"
"No","Yes","04294001","001091007F103800","10","2014-10-08 13:29:13.304846"
"No","Yes","04294001","001097007F103800","10","2014-10-08 13:29:13.804793"
"No","Yes","04294001","001098007F103800","10","2014-10-08 13:29:14.304910"
"No","Yes","04214006","00000000111810B7","2","2014-10-08 13:29:06.669858"
"No","Yes","04214006","00000000111C10BB","1","2014-10-08 13:29:06.775242"
"No","Yes","04214006","0000003E112010C0","1","2014-10-08 13:29:06.869917"
"No","Yes","04214006","00000052112710C6","1","2014-10-08 13:29:06.969808"
"No","Yes","04214006","00000068112F10CF","1","2014-10-08 13:29:07.069803"
"No","Yes","04214006","00000081113810D9","1","2014-10-08 13:29:07.169865"
"No","Yes","04214006","00000097114410E5","1","2014-10-08 13:29:07.269836"
"No","Yes","04214006","000000B3115210F3","1","2014-10-08 13:29:07.369739"
"No","Yes","04214006","000000CE11621103","1","2014-10-08 13:29:07.469838"
"No","Yes","04214006","000000EA11741115","1","2014-10-08 13:29:07.572675"
"No","Yes","04214006","0000010111881129","1","2014-10-08 13:29:07.669812"
"No","Yes","04214006","00000112119E113F","1","2014-10-08 13:29:07.772745"
"No","Yes","04214006","0000012211B51155","1","2014-10-08 13:29:07.869832"
"No","Yes","04214006","0000013311CE116D","1","2014-10-08 13:29:07.969709"
"No","Yes","04214006","0000014811E81187","1","2014-10-08 13:29:08.069876"
"No","Yes","04214006","0000015D120411A2","1","2014-10-08 13:29:08.172681"
"No","Yes","04214006","00000171122211BE","1","2014-10-08 13:29:08.272792"
"No","Yes","04214006","00000183124111DC","1","2014-10-08 13:29:08.372574"
"No","Yes","04214006","00000193126211FB","1","2014-10-08 13:29:08.469805"
"No","Yes","04214006","000001941283121A","1","2014-10-08 13:29:08.572748"
"No","Yes","04214006","0000019212A3123A","1","2014-10-08 13:29:08.672519"
"No","Yes","04214006","0000019212C41259","1","2014-10-08 13:29:08.772922"
"No","Yes","04214006","0000019F12E61279","1","2014-10-08 13:29:08.869125"
"No","Yes","04214006","000001B71309129A","1","2014-10-08 13:29:08.969194"
"No","Yes","04214006","000001CB132F12BE","1","2014-10-08 13:29:09.072461"
"No","Yes","04214006","000001D9135512E2","1","2014-10-08 13:29:09.172614"
"No","Yes","04214006","000001ED137E1308","1","2014-10-08 13:29:09.272773"
"No","Yes","04214006","000001FD13A7132E","1","2014-10-08 13:29:09.369746"
"No","Yes","04214006","0002020913D21356","1","2014-10-08 13:29:09.472535"
"No","Yes","04214006","0002021213FD137F","1","2014-10-08 13:29:09.569912"
"No","Yes","04214006","00020220142913A9","1","2014-10-08 13:29:09.672420"
"No","Yes","04214006","0002022D145713D4","1","2014-10-08 13:29:09.772816"
"No","Yes","04214006","00020238148513FF","1","2014-10-08 13:29:09.872802"
"No","Yes","04214006","0002024614B4142C","1","2014-10-08 13:29:09.972674"
"No","Yes","04214006","0002024F14E51459","1","2014-10-08 13:29:10.072501"
"No","Yes","04214006","0002025815161487","1","2014-10-08 13:29:10.172646"
"No","Yes","04214006","00020261154814B5","1","2014-10-08 13:29:10.269203"
"No","Yes","04214006","00020269157A14E4","1","2014-10-08 13:29:10.369670"
"No","Yes","04214006","0000027015AE1514","1","2014-10-08 13:29:10.472520"
"No","Yes","04214006","0002027915E11544","1","2014-10-08 13:29:10.569185"
"No","Yes","04214006","0002028316161575","1","2014-10-08 13:29:10.672555"
"No","Yes","04214006","00020289164B15A7","1","2014-10-08 13:29:10.772746"
"No","Yes","04214006","00020291168115D9","1","2014-10-08 13:29:10.872328"
"No","Yes","04214006","0002029816B7160C","1","2014-10-08 13:29:10.969037"
"No","Yes","04214006","0002029E16EE163F","1","2014-10-08 13:29:11.072573"
"No","Yes","04214006","000202A617261673","1","2014-10-08 13:29:11.172315"
"No","Yes","04214006","000202AB175E16A7","1","2014-10-08 13:29:11.272774"
"No","Yes","04214006","000202B2179616DB","1","2014-10-08 13:29:11.372504"
"No","Yes","04214006","000202B317CF1710","1","2014-10-08 13:29:11.472423"
"No","Yes","04214006","000202B818081745","1","2014-10-08 13:29:11.572655"
"No","Yes","04214006","000002C01842177B","1","2014-10-08 13:29:11.672521"
"No","Yes","04214006","000002C8187C17B1","1","2014-10-08 13:29:11.772714"
"No","Yes","04214006","000002CD18B717E8","1","2014-10-08 13:29:11.872638"
"No","Yes","04214006","000002D018F11820","1","2014-10-08 13:29:11.972810"
"No","Yes","04214006","000002C9192B1857","1","2014-10-08 13:29:12.069792"
"No","Yes","04214006","000002C91965188D","1","2014-10-08 13:29:12.169774"
"No","Yes","04214006","000002C7199F18C4","1","2014-10-08 13:29:12.270138"
"No","Yes","04214006","000002CC19DA18FB","1","2014-10-08 13:29:12.369849"
"No","Yes","04214006","000002D51A141933","1","2014-10-08 13:29:12.472993"
"No","Yes","04214006","000002DE1A50196C","1","2014-10-08 13:29:12.573416"
"No","Yes","04214006","000002E81A8B19A6","1","2014-10-08 13:29:12.673367"
"No","Yes","04214006","000002F11AC819E1","1","2014-10-08 13:29:12.769984"
"No","Yes","04214006","000002FB1B051A1D","1","2014-10-08 13:29:12.872956"
"No","Yes","04214006","000003081B421A5A","1","2014-10-08 13:29:12.969812"
"No","Yes","04214006","000003131B811A98","1","2014-10-08 13:29:13.068854"
"No","Yes","04214006","0000031C1BC11AD6","1","2014-10-08 13:29:13.169809"
"No","Yes","04214006","000003251C011B16","1","2014-10-08 13:29:13.273355"
"No","Yes","04214006","000003301C411B56","1","2014-10-08 13:29:13.369981"
"No","Yes","04214006","000003391C831B97","1","2014-10-08 13:29:13.469799"
"No","Yes","04214006","000003431CC51BD9","1","2014-10-08 13:29:13.569768"
"No","Yes","04214006","0000034C1D081C1B","1","2014-10-08 13:29:13.669831"
"No","Yes","04214006","000003541D4B1C5F","1","2014-10-08 13:29:13.769793"
"No","Yes","04214006","0000035B1D8F1CA3","1","2014-10-08 13:29:13.869835"
"No","Yes","04214006","000003641DD41CE7","1","2014-10-08 13:29:13.968876"
"No","Yes","04214006","0000036E1E1A1D2D","1","2014-10-08 13:29:14.069820"
"No","Yes","04214006","000003781E601D73","1","2014-10-08 13:29:14.169808"
"No","Yes","04214006","000003801EA71DBA","1","2014-10-08 13:29:14.269870"
"No","Yes","04214001","000080680DAC3600","2","2014-10-08 13:29:06.637011"
"No","Yes","04214001","0000806811AA3800","1","2014-10-08 13:29:06.687735"
"No","Yes","04214001","0000806811AA3A00","1","2014-10-08 13:29:06.737328"
"No","Yes","04214001","0000806814983A00","1","2014-10-08 13:29:06.784934"
"No","Yes","04214001","0000806816763A00","2","2014-10-08 13:29:06.884807"
"No","Yes","04214001","00008068179D3B00","2","2014-10-08 13:29:06.987420"
